Session Code,Product,Topic,Disclaimer,Session Data Update,Title,Abstract,Track,Type,Delivery,Times Offered
1920,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,LOD Unlocked: Discover the Secret Weapon of Tableau Masters,"Uncover Tableau’s true potential with level of detail (LOD) calculations. This session demystifies FIXED, INCLUDE, and EXCLUDE LODs, showing how they enable precise analysis and deeper insights.",Tableau,Hands-on Training,In-Person,3
1278,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Think Like a Hacker: How to Develop More Robust Dashboards,Stop spending so much time maintaining your dashboards. Learn my secret development techniques that will make your dashboards more easily maintainable and survive changes in your data.,Tableau,Breakout,In-Person,2
1919,"Developer Tools & APIs,Tableau Desktop,Tableau Prep",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Practical Applications of Python, R, and Generative AI","The integration of Python and R in Tableau opens the door to advanced analytics, machine learning, and now generative AI. Explore the three integration points that supercharge your Tableau solutions.",Tableau,Hands-on Training,In-Person,4
8007,"Tableau Cloud,Tableau Desktop,Tableau Next",Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Devs On Stage,Devs are back on stage. See Tableau’s dev team demo the latest features and upcoming innovations you’ve been asking for. Don’t miss the energy and excitement of this fun main stage event.,Special,Keynote,"Broadcast,In-Person,VOD",1
1217,"Embedded Analytics,Tableau Cloud","Analytics,Democratization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Between the Sheets: Bringing Tableau into Your Spreadsheets,Spreadsheets are one of the most prolific and powerful tools for working with your data. Learn how Tableau is making it easier and more accessible for our platform to level up your spreadsheets.,Tableau,Theater,"In-Person,VOD",2
1909,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Pit Stop for Performance: Tuning Dashboards Like a Champion,"Learn techniques to streamline data sources, optimize calculations, and improve dashboard load times. Discover best practices for structuring data and how to use Tableau’s tools for optimization.
",Tableau,Hands-on Training,In-Person,4
1915,"Tableau Cloud,Tableau Desktop",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Set It and Don’t Forget It: Set and Parameter Actions,Struggling with static dashboards or hitting analytical roadblocks? Revolutionize user experiences and interactivity with advanced set and parameter actions.,Tableau,Hands-on Training,In-Person,4
1275,Tableau Desktop,"Data Model,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Relationships vs. Joins vs. Blends,"Effectively bring tables together in Tableau. This session covers joins, relationships, and blends —how they work, when to use them, and best practices for building efficient, effective data models.",Tableau,Breakout,"In-Person,VOD",2
1921,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,LEVEL (of detail) UP: Mastering LODs,Reach new heights of mastery in LOD calculations. This session will INCLUDE the most advanced LOD concepts. EXCLUDE the faint-hearted. Solve all our challenges and you should be FIXED for life.,Tableau,Hands-on Training,In-Person,4
1923,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Spice Up Your Data: Advanced Calcs,"Discover techniques to harness the full power of advanced calculated fields, including conditional statements, advanced date operations, string manipulations and more.",Tableau,Hands-on Training,In-Person,4
1905,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,It’s a Date! Working with Dates in Tableau,"Level up your date game. We’ll jump into time-series analysis, date functions for seamless trend analysis, and contextual progress-to-goal and interactive benchmarks to enhance data understanding.  ",Tableau,Hands-on Training,In-Person,4
1760,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Design KPI Dashboards That Steal the Show,"Design KPI-driven dashboards that inform, spark curiosity, and drive action. Learn to tailor them for CEOs, sales directors, and decision-makers to track and analyze business performance effectively.",Tableau,Theater,"In-Person,VOD",2
1855,"Tableau Desktop,Tableau Public","DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Effortless Dashboard Design: Reuse and Replicate Charts,"Good artists borrow, great artists steal. Level up your Tableau game by leveraging existing designs from the DataFam. Learn key techniques for quickly reusing and replicating design patterns.",Tableau,Breakout,"In-Person,VOD",2
1249,Developer Tools & APIs,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Beyond the Boundaries of Tableau,"Unlock the full potential of Tableau with tools and techniques to boost your creativity and productivity. Prepare for your mind to be blown and transform how you build, analyze, and share insights.",Tableau,Breakout,"Broadcast,In-Person,VOD",2
1907,"Tableau Cloud,Tableau Desktop,Tableau Public",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Regression, Correlation, Logits — Oh My! Stats with Tableau","Whether you’re a rookie eager to learn statistical fundamentals or a seasoned vet looking to refine your skills, this training is designed to elevate your game in statistical analysis using Tableau.",Tableau,Hands-on Training,In-Person,3
1922,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,The Analyst’s Dilemma: Table Calcs vs. LODs,"You understand table calculations and level of detail expressions, but how do you choose which to use? Join us to learn more about these calc types and how to choose the best in different scenarios.",Tableau,Hands-on Training,In-Person,4
1929,"Tableau Cloud,Tableau Desktop,Tableau Semantics","Data Model,Data Strategy","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Data Modeling 201: Next Level Relationship Advice,"New Tableau Semantic functionality expands data model capabilities beyond Data Modeling 101 — multi-fact analysis, shared dimensions, and composable data sources. 
",Tableau,Hands-on Training,In-Person,4
1910,"Tableau Desktop,Tableau Prep",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Tips, Tricks, and Techniques: Your Guide to Tableau Mastery",Elevate your skills from novice to master with Tableau Prep and Desktop. Learn how to use powerful features from fundamental functionalities to advanced techniques and unlock Tableau’s full potential.,Tableau,Hands-on Training,In-Person,4
1955,Tableau Next,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,The Future of Analytics Is Here: Meet Tableau Next,Tableau Next is bringing agentic AI into every aspect of analytics. Join this session to understand our vision for agentic analytics and take a closer look at the Tableau Next roadmap.,Tableau,Breakout,"Broadcast,In-Person,VOD",2
1918,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Feast on Data: Digging into Advanced Table Calculations,"Harness advanced table calcs to solve complex analytical problems in Tableau. Learn to confidently navigate “at the level of,” “Compute Using,” and more head-scratching table calc concepts.",Tableau,Hands-on Training,In-Person,4
1066,Tableau Desktop,"Democratization,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Tableau Speed Tipping: 40 Tips in 40 Minutes,"Join us for a fast-paced session packed with a fresh round of Tableau tips, shortcuts, and solutions to take your vizzing to the next level.",Tableau,Breakout,"Broadcast,In-Person,VOD",2
1872,"Tableau Agent,Tableau Cloud,Tableau Server","Artificial Intelligence,Data Strategy","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,How SoFi Automates PowerPoint Reports with Tableau & AI,"Join Data Analytics leaders from SoFi to learn how their teams automate recurring PowerPoint reports like performance reviews, QBRs, and financial reports using Rollstack's Tableau integration and AI.",Sponsors,Breakout,In-Person,1
1933,Tableau Desktop,Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Dashboard Intel: Unlocking Next-Level Interactivity,"Uncover the art of dashboard espionage. Learn to deploy advanced actions, Salesforce Flow, and extensions for interactive, decision-driven insights. ",Designer,Hands-on Training,In-Person,4
1074,"Tableau Cloud,Tableau Desktop","Artificial Intelligence,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Breaking Free from Spreadsheets: Turning Data into Insights,"Data visualizations bring facts to life. Learn best practices and techniques to craft compelling narratives with your data and how to blend it with AI using Tableau Next, Pulse, and Agent.",Tableau,Breakout,"Broadcast,In-Person,VOD",2
1937,Tableau Desktop,Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Gettin’ Vizzy Wit It!,"Need to go beyond “Show me”? Don’t have access to Viz Extensions? Dive into the “how” behind advanced vizzes. We’ll walk through lollipops, donut grids, radar charts, hex tiles, sun bursts, and more.",Designer,Hands-on Training,In-Person,4
1672,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Color Mastery: The Power of Color in Data Storytelling,"Discover how color theory can enhance your vizzes for better readability, impact, and storytelling. Create custom palettes for accessible, inclusive designs and make your designs shine.",Designer,Breakout,"Broadcast,In-Person,VOD",2
1439,Tableau Cloud,"Data Model,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,6 Data Engineering Practices Every Developer Needs to Know,Discover how Tableau developers can leverage key data engineering concepts to enhance their workflows and collaborate effectively with technical teams to enhance dashboard impact.,Developer,Breakout,"Broadcast,In-Person,VOD",2
2000,Tableau Desktop,Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Custom Themes: You Asked, We Delivered","Come learn about the new custom themes feature, dive deep into how it works & how you can use it to format new workbooks, and get a sneak peek at how we plan to make it even better over the next year.",Tableau,Theater,"In-Person,VOD",2
2061,"Tableau Agent,Tableau Cloud,Tableau Pulse","Analytics,Artificial Intelligence","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,AI-Powered C-Suite Insights with Tableau,"Learn how Salesforce execs harness the power of Tableau to reveal hidden patterns, identify opportunities, and enhance collaboration with Slack, all on a unified data platform powered by Data Cloud.",Tableau,Theater,"Broadcast,In-Person,VOD",2
1492,Tableau Next,Thought Leadership,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Data Nerd to People Manager: Tips for Success,Transitioning from managing data to managing people means balancing leadership with hands-on technical skills. I'll share my journey on making a bigger impact while staying true to my roots in data.,Thought Leadership,Theater,In-Person,2
1309,Agentforce,"Analytics,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,3 Ways to Visualize Outliers in Tableau,"Agentforce makes uncovering statistical insights a breeze, but how do you present those findings effectively to stakeholders? Get tips and best practices from the author of “Statistical Tableau.”",Tableau,Theater,"In-Person,VOD",2
1180,"Tableau Desktop,Tableau Public","Data Culture,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Ready, Set, Build! Crafting Custom Dashboard Checklists","Learn to create customizable checklists for building effective dashboards with better quality and consistency. Get best practices, tips, and real-world examples for working solo or with clients.",Tableau,Breakout,In-Person,2
1648,Tableau Desktop,Data Model,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Tableau Data Modeling 101,Have you ever tried to connect to data and realized it didn’t quite fit the standard model? Have no fear. Learn about data modeling best practices and structure your data like a Tableau rockstar.,Tableau,Breakout,In-Person,2
1938,Tableau Desktop,Democratization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Clear, Concise, and Actionable: Accessibility in Practice","Apply WCAG principles for inclusive analysis. Use Tableau Desktop to build more accessible published dashboards with keyboard navigation, alt text, high-contrast palettes, and action interactivity.",Office of Accessibility,Hands-on Training,In-Person,3
1999,"Tableau Cloud,Tableau Desktop,Tableau Server",Data Model,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,No More Data Source Duplication with Composable Data Sources,Learn all about composable data sources in Tableau. This feature is the number one most up-voted capability on the Tableau Ideas forum and enables flexible reuse of published data sources.,Tableau,Theater,In-Person,2
1329,"Embedded Analytics,Tableau Desktop,Tableau Next","DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Chart Chat Live: One Dataset, Four Different Ways","A top-three session from 2024 is back. Four data experts remake one chart four different ways, sharing their design and analytical choices. Learn how to create better vizzes and be entertained.",Tableau,Breakout,"Broadcast,In-Person,VOD",1
1191,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Swapping, Popping, and More with Dynamic Zone Visibility","Join two Tableau Visionaries and forum legends as they guide you through Dynamic Zone Visibility. Learn use cases and techniques to make your workbooks more interactive, functional, and fun.",Tableau,Breakout,In-Person,2
1377,"Tableau Agent,Tableau Pulse","Analytics,Artificial Intelligence","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,AI in Tableau Cloud — Ask Questions and Get Answers,"Unlock the power of Tableau’s AI features to easily ask questions and get insights from your data. This session will show you how to effortlessly interact with data for impactful results.
",Tableau,Breakout,In-Person,2
1511,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,5 Dashboard Pitfalls Learned From Homeownership,"Building dashboards is like owning a home — both require planning and organization. Learn to avoid five common pitfalls with tips, stories, and techniques for better user experience and functionality.",Tableau,Breakout,"In-Person,VOD",2
1068,Tableau Desktop,"Data Model,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Relationship Data Model: Let Tableau Write Your SQL For You,"Learn how to model data in Tableau for optimal query performance. Discover the power and flexibility of relationships that will have you saying, “Less data with more answers.”",Tableau,Breakout,In-Person,2
1280,Tableau Desktop,"Analytics,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Designing Efficient Workbooks 101,"Learn concepts and best practices behind performant workbooks including data prep, design considerations, calculations, and more. Plus, leave with a design checklist to keep the momentum going.",Designer,Theater,"Broadcast,In-Person,VOD",2
1932,"Tableau Cloud,Tableau Pulse","Analytics,Artificial Intelligence","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Keep the Beat with Tableau Pulse: Uncover Insights with AI,Ready to mix AI into your analytics playlist? Drop into our Tableau Pulse workshop where data insights flow like your favorite tracks and get hands-on with the simplest AI tool you’ll use all year.,Tableau,Hands-on Training,In-Person,4
1950,Tableau Next,"Analytics,Artificial Intelligence","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Mastering Tableau Next: Charts, Dashboards & Metrics!","Get a first look at Tableau Next! New workspaces, powerful viz tools, smarter metrics, seamless embedding, and faster actions—unlock deeper insights like never before!",Agentforce,Hands-on Training,In-Person,3
1914,"Tableau Desktop,Tableau Prep,Tableau Public",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Map It Like It’s Hot: Advanced Geospatial Analytics,Journey into advanced mapping techniques for true spatial analysis through dynamic geospatial visualization. Learn strategies to optimize map performance for enhanced user experience and storytelling.,Tableau,Hands-on Training,In-Person,4
1022,Developer Tools & APIs,"DataFam,Integration","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM," Extend, Enrich, Excel: Using Python with Tableau","In this session, we go through all the possible ways Tableau and Python can work together. Whether you are an analyst, data engineer, or developer, there is something here for you.",Developer,Theater,"In-Person,VOD",2
1558,"Tableau Cloud,Tableau Desktop",Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Lights, Camera, Action! Unleash the Power of Tableau Actions","Discover how to use set actions, parameter actions, external actions, and Dynamic Zone Visibility to create personalized, engaging experiences and trigger actions directly from Tableau dashboards.",Tableau,Theater,In-Person,2
1390,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Taming the “Cannot Mix Aggregate and Non-Aggregate” Beast,"In this session, you’ll learn how to avoid aggregation pitfalls in Tableau and resolve common errors, including “Cannot mix aggregate and non-aggregate.”",Tableau,Theater,In-Person,1
8006,,,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Decoding Data with Steve Kornacki,"Join National Correspondent for NBC News Steve Kornacki as he explores how data analysis shapes narratives, drives decisions, reveals trends, and makes complex information engaging and accessible.",Special,Keynote,"Broadcast,In-Person,VOD",1
1926,"Tableau Cloud,Tableau Desktop,Tableau Server",Data Model,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Making Great Data Sources and Introducing Row-Level Security,"Learn to build scalable, flexible, and well-adopted data sources in Tableau.  Design a data source with easy-to-understand fields, hierarchies, folders, and even row-level security.",Tableau,Hands-on Training,In-Person,3
1286,Tableau Public,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Infographic-ally Speaking: Designing Dashboards for Impact,Showcase your data skills by creating playful dashboards. Learn how to use design principles and best practices to create impactful infographic dashboards for your portfolio and work.,Tableau,Breakout,"Broadcast,In-Person,VOD",1
