End DateTime,Start DateTime,Session Code,Room,End Time,Date,Start Time,Length,Disclaimer
4/16/2025 5:00:00 PM,4/16/2025 4:00:00 PM,8005,Keynote Room,5:00 PM,4/16/2025,4:00 PM,60,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 4:10:00 PM,4/15/2025 3:30:00 PM,1210,"Stage 2 | Content Pavilion, Ground Level",4:10 PM,4/15/2025,3:30 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 12:10:00 PM,4/17/2025 11:30:00 AM,1210,"Stage 8 | Content Pavilion, Ground Level",12:10 PM,4/17/2025,11:30 AM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 1:05:00 PM,4/17/2025 12:45:00 PM,1582,"Theater 2 | Data Village, Ground Level",1:05 PM,4/17/2025,12:45 PM,20,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:35:00 AM,4/15/2025 9:15:00 AM,1582,"Theater 4 | Data Village, Ground Level",9:35 AM,4/15/2025,9:15 AM,20,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 12:00:00 PM,4/16/2025 10:30:00 AM,1916,Hands-on Training 20C | Upper Level East,12:00 PM,4/16/2025,10:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 12:00:00 PM,4/17/2025 10:30:00 AM,1916,Hands-on Training 24C | Upper Level East,12:00 PM,4/17/2025,10:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 3:30:00 PM,4/17/2025 2:00:00 PM,1916,Hands-on Training 25C | Upper Level East,3:30 PM,4/17/2025,2:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:30:00 AM,4/15/2025 8:00:00 AM,1916,Hands-on Training 28C | Upper Level East,9:30 AM,4/15/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 8:40:00 AM,4/15/2025 8:00:00 AM,1073,"Stage 1 | Content Pavilion, Ground Level",8:40 AM,4/15/2025,8:00 AM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 1:40:00 PM,4/17/2025 1:00:00 PM,1073,"Stage 3 | Content Pavilion, Ground Level",1:40 PM,4/17/2025,1:00 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 2:00:00 PM,4/15/2025 12:30:00 PM,1934,Hands-on Training 20C | Upper Level East,2:00 PM,4/15/2025,12:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 12:00:00 PM,4/17/2025 10:30:00 AM,1934,Hands-on Training 20C | Upper Level East,12:00 PM,4/17/2025,10:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 9:30:00 AM,4/16/2025 8:00:00 AM,1934,Hands-on Training 20D | Upper Level East,9:30 AM,4/16/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 4:00:00 PM,4/17/2025 2:30:00 PM,1934,Hands-on Training 31A | Upper Level East,4:00 PM,4/17/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:30:00 AM,4/15/2025 8:00:00 AM,1920,Hands-on Training 23A | Upper Level East,9:30 AM,4/15/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 12:00:00 PM,4/16/2025 10:30:00 AM,1920,Hands-on Training 29B | Upper Level East,12:00 PM,4/16/2025,10:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 10:00:00 AM,4/17/2025 8:30:00 AM,1920,Hands-on Training 31A | Upper Level East,10:00 AM,4/17/2025,8:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 12:40:00 PM,4/16/2025 12:00:00 PM,1278,"Stage 1 | Content Pavilion, Ground Level",12:40 PM,4/16/2025,12:00 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 12:10:00 PM,4/15/2025 11:30:00 AM,1278,"Stage 6 | Content Pavilion, Ground Level",12:10 PM,4/15/2025,11:30 AM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 1:30:00 PM,4/15/2025 12:00:00 PM,1919,Hands-on Training 20A | Upper Level East,1:30 PM,4/15/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 9:30:00 AM,4/16/2025 8:00:00 AM,1919,Hands-on Training 20A | Upper Level East,9:30 AM,4/16/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 1:30:00 PM,4/16/2025 12:00:00 PM,1919,Hands-on Training 28C | Upper Level East,1:30 PM,4/16/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 11:30:00 AM,4/17/2025 10:00:00 AM,1919,Hands-on Training 28C | Upper Level East,11:30 AM,4/17/2025,10:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 10:45:00 AM,4/16/2025 10:00:00 AM,8007,Keynote Room,10:45 AM,4/16/2025,10:00 AM,45,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 2:20:00 PM,4/17/2025 2:00:00 PM,1217,"Theater 1 | Data Village, Ground Level",2:20 PM,4/17/2025,2:00 PM,20,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 8:35:00 AM,4/15/2025 8:15:00 AM,1217,"Theater 4 | Data Village, Ground Level",8:35 AM,4/15/2025,8:15 AM,20,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:45:00 AM,4/15/2025 8:15:00 AM,1909,Hands-on Training 20C | Upper Level East,9:45 AM,4/15/2025,8:15 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 12:00:00 PM,4/16/2025 10:30:00 AM,1909,Hands-on Training 24C | Upper Level East,12:00 PM,4/16/2025,10:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 4:00:00 PM,4/16/2025 2:30:00 PM,1909,Hands-on Training 24C | Upper Level East,4:00 PM,4/16/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 4:00:00 PM,4/17/2025 2:30:00 PM,1909,Hands-on Training 24C | Upper Level East,4:00 PM,4/17/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 1:30:00 PM,4/17/2025 12:00:00 PM,1915,Hands-on Training 20D | Upper Level East,1:30 PM,4/17/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:30:00 AM,4/15/2025 8:00:00 AM,1915,Hands-on Training 25C | Upper Level East,9:30 AM,4/15/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 4:00:00 PM,4/16/2025 2:30:00 PM,1915,Hands-on Training 26B | Upper Level East,4:00 PM,4/16/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 12:00:00 PM,4/16/2025 10:30:00 AM,1915,Hands-on Training 33A | Upper Level East,12:00 PM,4/16/2025,10:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 2:40:00 PM,4/15/2025 2:00:00 PM,1275,"Stage 7 | Content Pavilion, Ground Level",2:40 PM,4/15/2025,2:00 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 10:10:00 AM,4/16/2025 9:30:00 AM,1275,"Stage 8 | Content Pavilion, Ground Level",10:10 AM,4/16/2025,9:30 AM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 11:30:00 AM,4/16/2025 10:00:00 AM,1921,Hands-on Training 20A | Upper Level East,11:30 AM,4/16/2025,10:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 3:30:00 PM,4/17/2025 2:00:00 PM,1921,Hands-on Training 20A | Upper Level East,3:30 PM,4/17/2025,2:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 2:00:00 PM,4/15/2025 12:30:00 PM,1921,Hands-on Training 24C | Upper Level East,2:00 PM,4/15/2025,12:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 3:30:00 PM,4/16/2025 2:00:00 PM,1921,Hands-on Training 28C | Upper Level East,3:30 PM,4/16/2025,2:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 9:30:00 AM,4/17/2025 8:00:00 AM,1923,Hands-on Training 20D | Upper Level East,9:30 AM,4/17/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 11:30:00 AM,4/16/2025 10:00:00 AM,1923,Hands-on Training 28C | Upper Level East,11:30 AM,4/16/2025,10:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 2:00:00 PM,4/17/2025 12:30:00 PM,1923,Hands-on Training 31A | Upper Level East,2:00 PM,4/17/2025,12:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 4:00:00 PM,4/15/2025 2:30:00 PM,1923,Hands-on Training 33A | Upper Level East,4:00 PM,4/15/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:30:00 AM,4/15/2025 8:00:00 AM,1905,Hands-on Training 20A | Upper Level East,9:30 AM,4/15/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 11:30:00 AM,4/16/2025 10:00:00 AM,1905,Hands-on Training 25C | Upper Level East,11:30 AM,4/16/2025,10:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 11:30:00 AM,4/17/2025 10:00:00 AM,1905,Hands-on Training 25C | Upper Level East,11:30 AM,4/17/2025,10:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 4:00:00 PM,4/16/2025 2:30:00 PM,1905,Hands-on Training 33A | Upper Level East,4:00 PM,4/16/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 2:50:00 PM,4/17/2025 2:30:00 PM,1760,"Theater 1 | Data Village, Ground Level",2:50 PM,4/17/2025,2:30 PM,20,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 9:20:00 AM,4/16/2025 9:00:00 AM,1760,"Theater 3 | Data Village, Ground Level",9:20 AM,4/16/2025,9:00 AM,20,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 1:40:00 PM,4/15/2025 1:00:00 PM,1855,"Stage 7 | Content Pavilion, Ground Level",1:40 PM,4/15/2025,1:00 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 2:10:00 PM,4/16/2025 1:30:00 PM,1855,"Stage 8 | Content Pavilion, Ground Level",2:10 PM,4/16/2025,1:30 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 2:40:00 PM,4/15/2025 2:00:00 PM,1249,"Stage 5 | Content Pavilion, Ground Level",2:40 PM,4/15/2025,2:00 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 2:10:00 PM,4/17/2025 1:30:00 PM,1249,"Stage 6 | Content Pavilion, Ground Level",2:10 PM,4/17/2025,1:30 PM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:45:00 AM,4/15/2025 8:15:00 AM,1907,Hands-on Training 28B | Upper Level East,9:45 AM,4/15/2025,8:15 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 2:00:00 PM,4/17/2025 12:30:00 PM,1907,Hands-on Training 29B | Upper Level East,2:00 PM,4/17/2025,12:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 11:30:00 AM,4/16/2025 10:00:00 AM,1907,Hands-on Training 30C | Upper Level East,11:30 AM,4/16/2025,10:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 1:30:00 PM,4/17/2025 12:00:00 PM,1922,Hands-on Training 20A | Upper Level East,1:30 PM,4/17/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 10:00:00 AM,4/17/2025 8:30:00 AM,1922,Hands-on Training 24C | Upper Level East,10:00 AM,4/17/2025,8:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 3:30:00 PM,4/16/2025 2:00:00 PM,1922,Hands-on Training 30C | Upper Level East,3:30 PM,4/16/2025,2:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 2:00:00 PM,4/15/2025 12:30:00 PM,1922,Hands-on Training 31A | Upper Level East,2:00 PM,4/15/2025,12:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 1:30:00 PM,4/17/2025 12:00:00 PM,1929,Hands-on Training 25C | Upper Level East,1:30 PM,4/17/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 9:30:00 AM,4/17/2025 8:00:00 AM,1929,Hands-on Training 25C | Upper Level East,9:30 AM,4/17/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 1:30:00 PM,4/15/2025 12:00:00 PM,1929,Hands-on Training 28C | Upper Level East,1:30 PM,4/15/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 4:00:00 PM,4/16/2025 2:30:00 PM,1929,Hands-on Training 31A | Upper Level East,4:00 PM,4/16/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 2:00:00 PM,4/17/2025 12:30:00 PM,1910,Hands-on Training 20C | Upper Level East,2:00 PM,4/17/2025,12:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 1:30:00 PM,4/15/2025 12:00:00 PM,1910,Hands-on Training 25C | Upper Level East,1:30 PM,4/15/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 4:00:00 PM,4/16/2025 2:30:00 PM,1910,Hands-on Training 28B | Upper Level East,4:00 PM,4/16/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 2:00:00 PM,4/16/2025 12:30:00 PM,1910,Hands-on Training 31A | Upper Level East,2:00 PM,4/16/2025,12:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 11:10:00 AM,4/17/2025 10:30:00 AM,1955,"Stage 4 | Content Pavilion, Ground Level",11:10 AM,4/17/2025,10:30 AM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 12:10:00 PM,4/15/2025 11:30:00 AM,1955,"Stage 5 | Content Pavilion, Ground Level",12:10 PM,4/15/2025,11:30 AM,40,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 4:00:00 PM,4/15/2025 2:30:00 PM,1918,Hands-on Training 24C | Upper Level East,4:00 PM,4/15/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 3:30:00 PM,4/16/2025 2:00:00 PM,1918,Hands-on Training 25C | Upper Level East,3:30 PM,4/16/2025,2:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 10:00:00 AM,4/16/2025 8:30:00 AM,1918,Hands-on Training 30B | Upper Level East,10:00 AM,4/16/2025,8:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 10:00:00 AM,4/17/2025 8:30:00 AM,1918,Hands-on Training 30B | Upper Level East,10:00 AM,4/17/2025,8:30 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
