id,title,date,start_time,end_time,session_slot,topic,description
1627_slot0,Actionable Insights with Tableau Next and Agentforce,2025-04-16,14:30,15:10,14:30 - 15:10,Thought Leadership,"See how ANZ Plus are delivering a new AI-driven experience for its bankers and business leaders through Tableau Next, leveraging the Einstein Semantic Layer and the Agentforce platform."
1627_slot1,Actionable Insights with Tableau Next and Agentforce,2025-04-17,10:30,11:10,10:30 - 11:10,Thought Leadership,"See how ANZ Plus are delivering a new AI-driven experience for its bankers and business leaders through Tableau Next, leveraging the Einstein Semantic Layer and the Agentforce platform."
2022,"Advance Sales Effectiveness with Contextual, Actionable Data",2025-04-16,08:00,08:40,8:00 - 8:40,Thought Leadership,"Uncover how Tableau Next integrates seamlessly into daily workflows, empowering leaders and sellers. Dive into analytics for sharper forecasting and dynamic AE coaching to supercharge sales processes."
1960_slot0,Agentic AI for Analysts with Tableau Next’s Data Pro Skill,2025-04-16,11:00,11:20,11:00 - 11:20,Analytics,"Come learn how Tableau Next empowers analysts to answer ad-hoc questions and turn data into insights using the power of semantics, visual exploration, and agents."
1960_slot1,Agentic AI for Analysts with Tableau Next’s Data Pro Skill,2025-04-17,13:30,13:50,13:30 - 13:50,Analytics,"Come learn how Tableau Next empowers analysts to answer ad-hoc questions and turn data into insights using the power of semantics, visual exploration, and agents."
1957_slot0,"Agentic Analytics Skills: Data Pro, Concierge, Inspector",2025-04-16,15:00,15:40,15:00 - 15:40,"Analytics, Artificial Intelligence","This year, Tableau Next will include three analytics skills: Data Pro, Concierge, and Inspector. Come learn about these capabilities and what they mean for agentic analytics!"
1957_slot1,"Agentic Analytics Skills: Data Pro, Concierge, Inspector",2025-04-17,10:00,10:40,10:00 - 10:40,"Analytics, Artificial Intelligence","This year, Tableau Next will include three analytics skills: Data Pro, Concierge, and Inspector. Come learn about these capabilities and what they mean for agentic analytics!"
2017,"Agentic Analytics: Manufacturing, Retail and CPG Roundtable",2025-04-17,11:00,12:00,11:00 - 12:00,"Analytics, Artificial Intelligence","Join your manufacturing, retail, and CPG peers for a discusion on the potential of agentic analytics in your organization. Share insights on how to unlock AI in your analytics."
1377_slot0,AI in Tableau Cloud — Ask Questions and Get Answers,2025-04-15,09:00,09:40,9:00 - 9:40,"Analytics, Artificial Intelligence",Unlock the power of Tableau’s AI features to easily ask questions and get insights from your data. This session will show you how to effortlessly interact with data for impactful results.
1377_slot1,AI in Tableau Cloud — Ask Questions and Get Answers,2025-04-17,11:00,11:40,11:00 - 11:40,"Analytics, Artificial Intelligence",Unlock the power of Tableau’s AI features to easily ask questions and get insights from your data. This session will show you how to effortlessly interact with data for impactful results.
2061_slot0,AI-Powered C-Suite Insights with Tableau,2025-04-15,08:00,08:20,8:00 - 8:20,"Analytics, Artificial Intelligence","Learn how Salesforce execs harness the power of Tableau to reveal hidden patterns, identify opportunities, and enhance collaboration with Slack, all on a unified data platform powered by Data Cloud."
2061_slot1,AI-Powered C-Suite Insights with Tableau,2025-04-17,14:30,14:50,14:30 - 14:50,"Analytics, Artificial Intelligence","Learn how Salesforce execs harness the power of Tableau to reveal hidden patterns, identify opportunities, and enhance collaboration with Slack, all on a unified data platform powered by Data Cloud."
2276,Analytics Enablement (COE Superstars) Meetup,2025-04-17,08:00,08:45,8:00 - 8:45,,Join other data enablement enthusiasts and share best practices for fostering data culture and setting up Tableau centers of enablement (COE).
1749_slot0,"Analytics, Anywhere! The Tableau App for Slack and Teams",2025-04-15,09:00,09:20,9:00 - 9:20,Integration,"Learn how to use the Tableau app for Slack and Microsoft teams to access Tableau analytics anytime, anywhere. Collaborate, share insights, and engage with your teams for faster decision-making."
1749_slot1,"Analytics, Anywhere! The Tableau App for Slack and Teams",2025-04-17,13:30,13:50,13:30 - 13:50,Integration,"Learn how to use the Tableau app for Slack and Microsoft teams to access Tableau analytics anytime, anywhere. Collaborate, share insights, and engage with your teams for faster decision-making."
1990,Analyze Your Agentforce,2025-04-15,13:30,14:10,13:30 - 14:10,Analytics,Drive business outcomes and continuous improvement for all agents with Agentforce and Tableau Next. Learn how you can proactively monitor and optimize agent performance.
2269,Asian & Pacific Islanders Meetup,2025-04-15,16:00,16:45,16:00 - 16:45,,Connect with Asian & Pacific Islanders who love data and use Tableau!
1807_slot0,Ask Us Anything: Tackling Your Toughest Challenges LIVE,2025-04-16,09:00,09:40,9:00 - 9:40,"DataFam, Visualization","Join us for a high-energy session covering common pitfalls and mind-bending questions from more than four years of Tableau Live sessions. Plus, we’ll solve some of your thorniest challenges live."
1807_slot1,Ask Us Anything: Tackling Your Toughest Challenges LIVE,2025-04-17,11:30,12:10,11:30 - 12:10,"DataFam, Visualization","Join us for a high-energy session covering common pitfalls and mind-bending questions from more than four years of Tableau Live sessions. Plus, we’ll solve some of your thorniest challenges live."
1322,Automate Cloud Refreshes with Airflow and Connected Apps,2025-04-15,09:30,09:50,9:30 - 9:50,Integration,"Migrating to Tableau Cloud introduced significant challenges in automating the refresh of our enterprise data sources. In this session, we share how we used connected apps to solve those challenges."
1062_slot0,Automate Insights: Trigger Salesforce Flows from Tableau,2025-04-16,08:30,08:50,8:30 - 8:50,Integration,"Discover how to leverage Tableau to trigger flow executions in Salesforce. Learn how to set up and configure the integration, ensuring seamless automation and enhanced productivity for your team."
1062_slot1,Automate Insights: Trigger Salesforce Flows from Tableau,2025-04-17,09:15,09:35,9:15 - 9:35,Integration,"Discover how to leverage Tableau to trigger flow executions in Salesforce. Learn how to set up and configure the integration, ensuring seamless automation and enhanced productivity for your team."
1269_slot0,Automate Tableau Cloud Backups with Python and REST API,2025-04-15,14:30,15:10,14:30 - 15:10,Security,"Discover how to build a Python-based solution leveraging Tableau REST API to automate daily backups of workbooks, data sources, metadata, and more."
1269_slot1,Automate Tableau Cloud Backups with Python and REST API,2025-04-17,10:00,10:40,10:00 - 10:40,Security,"Discover how to build a Python-based solution leveraging Tableau REST API to automate daily backups of workbooks, data sources, metadata, and more."
1997,Best Practices for an Aligned Governance Strategy,2025-04-16,08:00,09:00,8:00 - 9:00,Data Culture,"In this roundtable, we’ll cover common themes that’ll make responsibly scaling your data and content to relevant users exciting rather than anxiety inducing, while networking with peers."
1217_slot0,Between the Sheets: Bringing Tableau into Your Spreadsheets,2025-04-15,08:15,08:35,8:15 - 8:35,"Analytics, Democratization",Spreadsheets are one of the most prolific and powerful tools for working with your data. Learn how Tableau is making it easier and more accessible for our platform to level up your spreadsheets.
1217_slot1,Between the Sheets: Bringing Tableau into Your Spreadsheets,2025-04-17,14:00,14:20,14:00 - 14:20,"Analytics, Democratization",Spreadsheets are one of the most prolific and powerful tools for working with your data. Learn how Tableau is making it easier and more accessible for our platform to level up your spreadsheets.
1987,Beyond BI: Agentic AI Is Changing the Future of Analytics,2025-04-15,14:30,15:10,14:30 - 15:10,Analytics,"Agentic AI is redefining analytics, making insights faster, smarter, and more intuitive. More people can harness data effortlessly without sacrificing trust. Join us to learn more."
1033_slot0,Beyond Data: Secure & Trusted Intelligence in Tableau Next,2025-04-15,08:30,09:10,8:30 - 9:10,Artificial Intelligence,"Unlock the power of Secure and Trusted AI analytics in Tableau Next. Discover our approaches to trusted data intelligence, enhancing decision-making while maintaining robust security and transparency."
1033_slot1,Beyond Data: Secure & Trusted Intelligence in Tableau Next,2025-04-17,09:30,10:10,9:30 - 10:10,Artificial Intelligence,"Unlock the power of Secure and Trusted AI analytics in Tableau Next. Discover our approaches to trusted data intelligence, enhancing decision-making while maintaining robust security and transparency."
1249_slot0,Beyond the Boundaries of Tableau,2025-04-15,14:00,14:40,14:00 - 14:40,"DataFam, Visualization","Unlock the full potential of Tableau with tools and techniques to boost your creativity and productivity. Prepare for your mind to be blown and transform how you build, analyze, and share insights."
1249_slot1,Beyond the Boundaries of Tableau,2025-04-17,13:30,14:10,13:30 - 14:10,"DataFam, Visualization","Unlock the full potential of Tableau with tools and techniques to boost your creativity and productivity. Prepare for your mind to be blown and transform how you build, analyze, and share insights."
1037_slot0,Big Data Issues? Dive Deep for Data Architects New 2 Tableau,2025-04-15,12:30,13:10,12:30 - 13:10,Data Strategy,Are you pushing many GBs of data into Tableau Server/Cloud but worried about performance and costs? Optimise architecture (including Data Cloud) and data pipelines from Tab UX to underlying SQL.
1037_slot1,Big Data Issues? Dive Deep for Data Architects New 2 Tableau,2025-04-17,10:00,10:40,10:00 - 10:40,Data Strategy,Are you pushing many GBs of data into Tableau Server/Cloud but worried about performance and costs? Optimise architecture (including Data Cloud) and data pipelines from Tab UX to underlying SQL.
2266,Black Tableau Professionals Meetup,2025-04-15,13:00,13:45,13:00 - 13:45,,Connect with and empower other Black data professionals at Tableau Conference!
1110_slot0,Blow Your Developer Mind with Embedded AI,2025-04-16,08:30,09:10,8:30 - 9:10,Integration,Step up your development game. This session shows how to use AI-powered Pulse metrics with custom React theming and Tableau’s new headless BI API to integrate with LLMs.
1110_slot1,Blow Your Developer Mind with Embedded AI,2025-04-17,08:00,08:40,8:00 - 8:40,Integration,Step up your development game. This session shows how to use AI-powered Pulse metrics with custom React theming and Tableau’s new headless BI API to integrate with LLMs.
1934_slot0,Bon Voyage to Boring Dashboards: Tableau Actions 101,2025-04-15,12:30,14:00,12:30 - 14:00,"Analytics, Visualization","Learn the basics of dashboard interactivity, including quick filters, parameters, and basic actions like navigation and filtering."
1934_slot1,Bon Voyage to Boring Dashboards: Tableau Actions 101,2025-04-16,08:00,09:30,8:00 - 9:30,"Analytics, Visualization","Learn the basics of dashboard interactivity, including quick filters, parameters, and basic actions like navigation and filtering."
1934_slot2,Bon Voyage to Boring Dashboards: Tableau Actions 101,2025-04-17,10:30,12:00,10:30 - 12:00,"Analytics, Visualization","Learn the basics of dashboard interactivity, including quick filters, parameters, and basic actions like navigation and filtering."
1934_slot3,Bon Voyage to Boring Dashboards: Tableau Actions 101,2025-04-17,14:30,16:00,14:30 - 16:00,"Analytics, Visualization","Learn the basics of dashboard interactivity, including quick filters, parameters, and basic actions like navigation and filtering."
1694_slot0,Boost Productivity with Agentforce and Tableau,2025-04-15,14:15,14:35,14:15 - 14:35,"Analytics, Artificial Intelligence","Discover how Agentforce workflows integrated with Tableau dashboards deliver real-time insights, improving agent productivity, enhancing client satisfaction, and driving measurable business outcomes."
1694_slot1,Boost Productivity with Agentforce and Tableau,2025-04-17,13:00,13:20,13:00 - 13:20,"Analytics, Artificial Intelligence","Discover how Agentforce workflows integrated with Tableau dashboards deliver real-time insights, improving agent productivity, enhancing client satisfaction, and driving measurable business outcomes."
1160_slot0,Boost Your Analytics Ecosystem with These Tableau Pulse Tips,2025-04-16,12:15,12:35,12:15 - 12:35,"Analytics, Thought Leadership","Learn how to unlock the potential of Tableau Pulse with actionable tips to help you spot great use cases, integrate Pulse into your analytics environment, and maximize Pulse capabilities."
1160_slot1,Boost Your Analytics Ecosystem with These Tableau Pulse Tips,2025-04-17,11:45,12:05,11:45 - 12:05,"Analytics, Thought Leadership","Learn how to unlock the potential of Tableau Pulse with actionable tips to help you spot great use cases, integrate Pulse into your analytics environment, and maximize Pulse capabilities."
1400,Bradesco DataFam Community Promotes Gen AI to Business Areas,2025-04-17,12:00,12:40,12:00 - 12:40,Artificial Intelligence,See how Banco Bradesco built a vibrant internal Tableau community and fostered a data-driven culture. Learn how we enabled business users to gain insights with Tableau Pulse and Tableau Agent.
1157,Breaking Boundaries: Exploring Community and Headless BI,2025-04-15,11:30,12:10,11:30 - 12:10,"DataFam, Visualization","Whether you’re an experienced data developer or new to the Tableau Platform, see how you can tap into the DataDev community to transform decision-making through custom API-driven solutions."
1074_slot0,Breaking Free from Spreadsheets: Turning Data into Insights,2025-04-15,09:00,09:40,9:00 - 9:40,"Artificial Intelligence, DataFam","Data visualizations bring facts to life. Learn best practices and techniques to craft compelling narratives with your data and how to blend it with AI using Tableau Next, Pulse, and Agent."
1074_slot1,Breaking Free from Spreadsheets: Turning Data into Insights,2025-04-15,16:30,17:10,16:30 - 17:10,"Artificial Intelligence, DataFam","Data visualizations bring facts to life. Learn best practices and techniques to craft compelling narratives with your data and how to blend it with AI using Tableau Next, Pulse, and Agent."
1346,Bridging the Gap: Enhancing Patient Access with Analytics,2025-04-16,14:00,14:40,14:00 - 14:40,"Analytics, Data Strategy","Discover how data analytics can identify and address gaps in patient admissions, improving patient engagement and operational efficiency."
2448,"Bring Agent-Powered Analytics to Tech, Media & Teleco",2025-04-15,15:00,15:45,15:00 - 15:45,Artificial Intelligence,"Join us for a discussion on how to overcome challenges in customer churn through agentic analytics. Discuss the benefits, challenges, and strategies to unlock the full potential of agentic analytics"
2031,Bringing Open-Source Community Content to Tableau Exchange,2025-04-16,09:30,09:50,9:30 - 9:50,"DataFam, Integration","Discover the Community Exchange on Tableau, a developer platform for sharing open-source Viz and Dashboard extensions. Learn the workflow, hear from a top DataFam contributor, and catch a live demo."
1173,Build a Winning Data Viz Portfolio (and Get That Job),2025-04-16,12:00,12:20,12:00 - 12:20,"Careers, DataFam","No matter where your data visualization portfolio is at, you'll leave this session with actionable steps to give your Tableau Public portfolio that wow factor and accelerate your analytics career."
1331,Build AI Literacy for Today and Tomorrow,2025-04-17,09:00,09:20,9:00 - 9:20,"Artificial Intelligence, DataFam",AI literacy at all levels of an organization is necessary as we move into the agentic AI era. Learn key elements for individuals and organizations to develop these crucial skills.
1073_slot0,Build and Use Predictive Models with Data Cloud and Tableau,2025-04-15,08:00,08:40,8:00 - 8:40,Artificial Intelligence,Learn to build predictive models for customer attrition with Data Cloud and visualize insights in Tableau. Unlock powerful forecasts to drive smarter decisions and retain your customers effectively.
1073_slot1,Build and Use Predictive Models with Data Cloud and Tableau,2025-04-17,13:00,13:40,13:00 - 13:40,Artificial Intelligence,Learn to build predictive models for customer attrition with Data Cloud and visualize insights in Tableau. Unlock powerful forecasts to drive smarter decisions and retain your customers effectively.
1939_slot0,Build Your Own Viz Type: Developing a Custom Viz Extension,2025-04-15,12:30,14:00,12:30 - 14:00,"Integration, Visualization","Get hands-on and build a viz extension. Perfect for our developer audience, this session offers a deep dive into design considerations and the available APIs toward building a custom viz extension."
1939_slot1,Build Your Own Viz Type: Developing a Custom Viz Extension,2025-04-16,08:00,09:30,8:00 - 9:30,"Integration, Visualization","Get hands-on and build a viz extension. Perfect for our developer audience, this session offers a deep dive into design considerations and the available APIs toward building a custom viz extension."
1939_slot2,Build Your Own Viz Type: Developing a Custom Viz Extension,2025-04-17,12:30,14:00,12:30 - 14:00,"Integration, Visualization","Get hands-on and build a viz extension. Perfect for our developer audience, this session offers a deep dive into design considerations and the available APIs toward building a custom viz extension."
1942_slot0,"Build, Automate, and Scale: A Tableau REST API Deep Dive",2025-04-15,14:30,16:00,14:30 - 16:00,Integration,Postman account required.
1942_slot1,"Build, Automate, and Scale: A Tableau REST API Deep Dive",2025-04-16,12:30,14:00,12:30 - 14:00,Integration,Postman account required.
1942_slot2,"Build, Automate, and Scale: A Tableau REST API Deep Dive",2025-04-17,08:00,09:30,8:00 - 9:30,Integration,Postman account required.
1942_slot3,"Build, Automate, and Scale: A Tableau REST API Deep Dive",2025-04-17,12:00,13:30,12:00 - 13:30,Integration,Postman account required.
1940_slot0,Building a TACO and Custom Connections,2025-04-15,14:00,15:30,14:00 - 15:30,Connectivity,"Get hands-on with the Tableau Connector SDK and learn how to build, test, and deploy your custom connector. Join this session to get started, regardless of your technical background."
1940_slot1,Building a TACO and Custom Connections,2025-04-16,12:00,13:30,12:00 - 13:30,Connectivity,"Get hands-on with the Tableau Connector SDK and learn how to build, test, and deploy your custom connector. Join this session to get started, regardless of your technical background."
1940_slot2,Building a TACO and Custom Connections,2025-04-17,10:00,11:30,10:00 - 11:30,Connectivity,"Get hands-on with the Tableau Connector SDK and learn how to build, test, and deploy your custom connector. Join this session to get started, regardless of your technical background."
1745_slot0,Building Our Dream World: Rethinking Data at Google,2025-04-16,13:00,13:40,13:00 - 13:40,Data Culture,Exploring the journey of rethinking our data culture within Google’s devices team. We go through how teams can move past what the users request and build for what the business needs.
1745_slot1,Building Our Dream World: Rethinking Data at Google,2025-04-17,13:30,14:10,13:30 - 14:10,Data Culture,Exploring the journey of rethinking our data culture within Google’s devices team. We go through how teams can move past what the users request and build for what the business needs.
1255_slot0,Building the Tableau Business Case Over Power BI,2025-04-15,16:30,17:10,16:30 - 17:10,Data Strategy,"Overview of key competitive differentiators of Tableau, best practices on how to build a strong business case, and tips and tricks on how to partner with Salesforce to grow your Tableau practice."
1255_slot1,Building the Tableau Business Case Over Power BI,2025-04-16,09:30,10:10,9:30 - 10:10,Data Strategy,"Overview of key competitive differentiators of Tableau, best practices on how to build a strong business case, and tips and tricks on how to partner with Salesforce to grow your Tableau practice."
2018,Building Trust: Transparency in Public Sector Reporting,2025-04-15,08:30,09:30,8:30 - 9:30,"Democratization, Thought Leadership","This roundtable explores how government agencies can enhance transparency, ensure data accuracy, and build public trust through clear, accountable, and accessible public-facing reporting."
1329,"Chart Chat Live: One Dataset, Four Different Ways",2025-04-17,09:00,09:40,9:00 - 9:40,"DataFam, Visualization","A top-three session from 2024 is back. Four data experts remake one chart four different ways, sharing their design and analytical choices. Learn how to create better vizzes and be entertained."
1938_slot0,"Clear, Concise, and Actionable: Accessibility in Practice",2025-04-15,12:00,13:30,12:00 - 13:30,Democratization,"Apply WCAG principles for inclusive analysis. Use Tableau Desktop to build more accessible published dashboards with keyboard navigation, alt text, high-contrast palettes, and action interactivity."
1938_slot1,"Clear, Concise, and Actionable: Accessibility in Practice",2025-04-16,10:30,12:00,10:30 - 12:00,Democratization,"Apply WCAG principles for inclusive analysis. Use Tableau Desktop to build more accessible published dashboards with keyboard navigation, alt text, high-contrast palettes, and action interactivity."
1938_slot2,"Clear, Concise, and Actionable: Accessibility in Practice",2025-04-17,12:00,13:30,12:00 - 13:30,Democratization,"Apply WCAG principles for inclusive analysis. Use Tableau Desktop to build more accessible published dashboards with keyboard navigation, alt text, high-contrast palettes, and action interactivity."
1583,Cloud Migration App: Small Deployments Made Easy,2025-04-17,13:45,14:05,13:45 - 14:05,Migration,"Migrate from Tableau Server to Tableau Cloud with this new, free standalone tool. You’ll explore appropriate use cases and scenarios. Conclude with an actual live small migration!"
1962,Collaborate with Live Insights in Slack and Tableau Next,2025-04-16,14:00,14:20,14:00 - 14:20,"Analytics, Integration","Bring insights into every conversation with our native Slack integration. Share live metrics into Slack Canvas & channels, monitor engagement, and collaborate in real time within both Tableau & Slack."
1672_slot0,Color Mastery: The Power of Color in Data Storytelling,2025-04-15,12:30,13:10,12:30 - 13:10,"DataFam, Visualization","Discover how color theory can enhance your vizzes for better readability, impact, and storytelling. Create custom palettes for accessible, inclusive designs and make your designs shine."
1672_slot1,Color Mastery: The Power of Color in Data Storytelling,2025-04-16,15:00,15:40,15:00 - 15:40,"DataFam, Visualization","Discover how color theory can enhance your vizzes for better readability, impact, and storytelling. Create custom palettes for accessible, inclusive designs and make your designs shine."
1838,Command Your Career: Become a High-Value Tableau Developer,2025-04-15,08:30,09:10,8:30 - 9:10,"Careers, DataFam","Secure high-paying Tableau contracts with ease. Learn how to showcase your expertise, justify premium rates, position Tableau as the must-have analytics tool, and create a lasting impact."
1507,Community Challenge: Back 2 Viz Basics Live,2025-04-15,12:30,13:30,12:30 - 13:30,"DataFam, Visualization","Discover how to join, participate, and level up your Tableau skills with #B2VB challenges. Spark creativity, strengthen your data viz foundation, and connect with the DataFam along the way."
2012,Community Challenge: Makeover Monday,2025-04-17,12:30,13:30,12:30 - 13:30,"DataFam, Visualization","Makeover Monday offers inspiration and perspective for those who communicate data. In this live hands-on session, participants will makeover a visualization and have the option to present their work."
1230,Community Challenge: Workout Wednesday Live,2025-04-17,08:00,09:00,8:00 - 9:00,"DataFam, Visualization",Flex your Tableau muscles in this hands-on interactive session as you solve a #WOW2025 challenge in Tableau with the DataFam. Get ready to workout and grow your Tableau skills.
2268,Comunidatos Meetup,2025-04-15,15:00,15:45,15:00 - 15:45,,Comunidatos is a community dedicated to offering connection and support to Spanish-speaking Tableau users. ¡Vamos!
2006,"Connecting All Your Data: Real-Time, Unstructured and Beyond",2025-04-17,14:30,15:10,14:30 - 15:10,Connectivity,Learn how Data Cloud connects all your data – from real-time streams to rich metadata. And maximize your existing data investments through zero copy integration to drive real business impact.
1961_slot0,Conversational Analysis & Metric Monitoring with Agentforce,2025-04-15,13:30,13:50,13:30 - 13:50,Artificial Intelligence,"Tableau Next launches Concierge and Inspector skills, enabling chat-based data analysis and proactive metric monitoring. Join us for a preview of conversational Q&A and data alerts with Agentforce!"
1961_slot1,Conversational Analysis & Metric Monitoring with Agentforce,2025-04-16,10:00,10:20,10:00 - 10:20,Artificial Intelligence,"Tableau Next launches Concierge and Inspector skills, enabling chat-based data analysis and proactive metric monitoring. Join us for a preview of conversational Q&A and data alerts with Agentforce!"
1580_slot0,Create a Tableau Pulse Implementation Plan,2025-04-16,11:00,11:40,11:00 - 11:40,"Analytics, Data Strategy","Tableau Pulse requires specialized planning. Using hypothetical Pulse environments, identify ideal use cases, and create perfect data sources to make the most of this reimagined data experience."
1580_slot1,Create a Tableau Pulse Implementation Plan,2025-04-17,14:30,15:10,14:30 - 15:10,"Analytics, Data Strategy","Tableau Pulse requires specialized planning. Using hypothetical Pulse environments, identify ideal use cases, and create perfect data sources to make the most of this reimagined data experience."
2000_slot0,"Custom Themes: You Asked, We Delivered",2025-04-15,16:15,16:35,16:15 - 16:35,Visualization,"Come learn about the new custom themes feature, dive deep into how it works & how you can use it to format new workbooks, and get a sneak peek at how we plan to make it even better over the next year."
2000_slot1,"Custom Themes: You Asked, We Delivered",2025-04-17,12:30,12:50,12:30 - 12:50,Visualization,"Come learn about the new custom themes feature, dive deep into how it works & how you can use it to format new workbooks, and get a sneak peek at how we plan to make it even better over the next year."
1732,Cutting Through the Chaos with Tableau Cloud,2025-04-16,08:30,09:10,8:30 - 9:10,"Migration, Salesforce on Tableau","Learn how enterprises can cut costs, streamline analytics, and future-proof their data strategy by migrating to Tableau Cloud—leveraging automation for efficiency and governance for long-term success."
1935_slot0,"Dash Smarter, Not Harder: Designing Impactful Dashboards",2025-04-15,12:00,13:30,12:00 - 13:30,"Analytics, Visualization","Learn how best practices for data visualization, user experience, and storytelling can equip you to create really awesome dashboards."
1935_slot1,"Dash Smarter, Not Harder: Designing Impactful Dashboards",2025-04-16,08:00,09:30,8:00 - 9:30,"Analytics, Visualization","Learn how best practices for data visualization, user experience, and storytelling can equip you to create really awesome dashboards."
1935_slot2,"Dash Smarter, Not Harder: Designing Impactful Dashboards",2025-04-16,14:00,15:30,14:00 - 15:30,"Analytics, Visualization","Learn how best practices for data visualization, user experience, and storytelling can equip you to create really awesome dashboards."
1935_slot3,"Dash Smarter, Not Harder: Designing Impactful Dashboards",2025-04-17,08:00,09:30,8:00 - 9:30,"Analytics, Visualization","Learn how best practices for data visualization, user experience, and storytelling can equip you to create really awesome dashboards."
1933_slot0,Dashboard Intel: Unlocking Next-Level Interactivity,2025-04-15,08:15,09:45,8:15 - 9:45,Visualization,"Uncover the art of dashboard espionage. Learn to deploy advanced actions, Salesforce Flow, and extensions for interactive, decision-driven insights."
1933_slot1,Dashboard Intel: Unlocking Next-Level Interactivity,2025-04-16,10:00,11:30,10:00 - 11:30,Visualization,"Uncover the art of dashboard espionage. Learn to deploy advanced actions, Salesforce Flow, and extensions for interactive, decision-driven insights."
1933_slot2,Dashboard Intel: Unlocking Next-Level Interactivity,2025-04-16,14:00,15:30,14:00 - 15:30,Visualization,"Uncover the art of dashboard espionage. Learn to deploy advanced actions, Salesforce Flow, and extensions for interactive, decision-driven insights."
1933_slot3,Dashboard Intel: Unlocking Next-Level Interactivity,2025-04-17,10:00,11:30,10:00 - 11:30,Visualization,"Uncover the art of dashboard espionage. Learn to deploy advanced actions, Salesforce Flow, and extensions for interactive, decision-driven insights."
1035_slot0,"Dashboard Standards Simplified: Define, Document, Deliver",2025-04-16,13:30,14:10,13:30 - 14:10,"DataFam, Visualization","Learn best practices to standardize dashboards for consistency and clarity. Simplify development, reduce rework, and implement standards to minimize risks and ensure data accuracy and reliability."
