Region,Segment,Category,Sub-Category,YearMonth,Budget
Central,Consumer,Furniture,Furnishings,2023-11,300.79
Central,Consumer,Furniture,Furnishings,2023-12,348.59
Central,Consumer,Furniture,Furnishings,2024-01,20.41
Central,Consumer,Furniture,Furnishings,2024-02,13.05
Central,Consumer,Furniture,Furnishings,2024-03,147.73
Central,Consumer,Furniture,Furnishings,2024-04,97.57
Central,Consumer,Furniture,Furnishings,2024-05,121.63
Central,Consumer,Furniture,Furnishings,2024-06,505.84
Central,Consumer,Furniture,Furnishings,2024-07,297.0
Central,Consumer,Furniture,Furnishings,2024-09,1593.54
Central,Consumer,Furniture,Furnishings,2024-10,279.96
Central,Consumer,Furniture,Furnishings,2024-11,154.11
Central,Consumer,Furniture,Furnishings,2024-12,114.95
Central,Consumer,Furniture,Furnishings,2025-01,146.37
Central,Consumer,Furniture,Furnishings,2025-02,11.23
Central,Consumer,Furniture,Furnishings,2025-03,83.07
Central,Consumer,Furniture,Furnishings,2025-04,16.71
Central,Consumer,Furniture,Furnishings,2025-05,552.74
Central,Consumer,Furniture,Furnishings,2025-06,522.93
Central,Consumer,Furniture,Furnishings,2025-07,7.91
Central,Consumer,Furniture,Furnishings,2025-08,162.33
Central,Consumer,Furniture,Furnishings,2025-09,271.01
Central,Consumer,Furniture,Furnishings,2025-10,209.69
Central,Consumer,Furniture,Furnishings,2025-11,211.81
Central,Consumer,Furniture,Furnishings,2025-12,571.66
Central,Consumer,Furniture,Tables,2022-03,2241.7
Central,Consumer,Furniture,Tables,2022-04,1125.69
Central,Consumer,Furniture,Tables,2022-05,387.05
Central,Consumer,Furniture,Tables,2022-06,262.57
Central,Consumer,Furniture,Tables,2022-08,431.73
Central,Consumer,Furniture,Tables,2022-09,630.71
Central,Consumer,Furniture,Tables,2022-11,315.86
Central,Consumer,Furniture,Tables,2022-12,292.1
Central,Consumer,Furniture,Tables,2023-01,101.6
Central,Consumer,Furniture,Tables,2023-04,851.89
Central,Consumer,Furniture,Tables,2023-05,272.77
Central,Consumer,Furniture,Tables,2023-08,971.05
Central,Consumer,Furniture,Tables,2023-11,1115.18
Central,Consumer,Furniture,Tables,2024-01,632.88
Central,Consumer,Furniture,Tables,2024-03,1318.78
Central,Consumer,Furniture,Tables,2024-06,199.18
Central,Consumer,Furniture,Tables,2024-08,483.25
Central,Consumer,Furniture,Tables,2024-09,928.1
Central,Consumer,Furniture,Tables,2024-11,920.65
Central,Consumer,Furniture,Tables,2024-12,668.31
Central,Consumer,Furniture,Tables,2025-01,890.52
Central,Consumer,Furniture,Tables,2025-03,979.4
Central,Consumer,Furniture,Tables,2025-06,349.57
Central,Consumer,Furniture,Tables,2025-07,108.81
Central,Consumer,Furniture,Tables,2025-09,1378.85
Central,Consumer,Furniture,Tables,2025-10,1202.57
Central,Consumer,Furniture,Tables,2025-11,240.73
Central,Consumer,Furniture,Tables,2025-12,2225.57
Central,Consumer,Office Supplies,Appliances,2022-01,219.47
Central,Consumer,Office Supplies,Appliances,2022-02,7.96
Central,Consumer,Office Supplies,Appliances,2022-03,252.09
Central,Consumer,Office Supplies,Appliances,2022-05,77.85
Central,Consumer,Office Supplies,Appliances,2022-06,517.8
Central,Consumer,Office Supplies,Appliances,2022-07,4.65
Central,Consumer,Office Supplies,Appliances,2022-09,213.59
Central,Consumer,Office Supplies,Appliances,2022-10,3.89
Central,Consumer,Office Supplies,Appliances,2022-11,272.28
Central,Consumer,Office Supplies,Appliances,2022-12,298.79
Central,Consumer,Office Supplies,Appliances,2023-03,223.9
Central,Consumer,Office Supplies,Appliances,2023-04,1370.7
Central,Consumer,Office Supplies,Appliances,2023-05,18.88
Central,Consumer,Office Supplies,Appliances,2023-06,153.64
Central,Consumer,Office Supplies,Appliances,2023-07,32.62
Central,Consumer,Office Supplies,Appliances,2023-08,5.05
Central,Consumer,Office Supplies,Appliances,2023-10,282.66
Central,Consumer,Office Supplies,Appliances,2023-11,25.6
Central,Consumer,Office Supplies,Appliances,2023-12,61.15
Central,Consumer,Office Supplies,Appliances,2024-03,2.08
Central,Consumer,Office Supplies,Appliances,2024-05,27.0
Central,Consumer,Office Supplies,Appliances,2024-07,314.86
Central,Consumer,Office Supplies,Appliances,2024-08,54.33
Central,Consumer,Office Supplies,Appliances,2024-09,846.39
Central,Consumer,Office Supplies,Appliances,2024-12,203.52
Central,Consumer,Office Supplies,Appliances,2025-01,17.84
Central,Consumer,Office Supplies,Appliances,2025-02,98.68
Central,Consumer,Office Supplies,Appliances,2025-03,2.53
Central,Consumer,Office Supplies,Appliances,2025-04,100.85
Central,Consumer,Office Supplies,Appliances,2025-05,511.71
Central,Consumer,Office Supplies,Appliances,2025-06,408.18
Central,Consumer,Office Supplies,Appliances,2025-07,123.16
Central,Consumer,Office Supplies,Appliances,2025-08,679.91
Central,Consumer,Office Supplies,Appliances,2025-09,136.78
Central,Consumer,Office Supplies,Appliances,2025-10,24.53
Central,Consumer,Office Supplies,Appliances,2025-11,158.83
Central,Consumer,Office Supplies,Appliances,2025-12,2995.1
Central,Consumer,Office Supplies,Art,2022-01,51.26
Central,Consumer,Office Supplies,Art,2022-02,43.13
Central,Consumer,Office Supplies,Art,2022-03,39.46
Central,Consumer,Office Supplies,Art,2022-04,114.97
Central,Consumer,Office Supplies,Art,2022-05,54.37
Central,Consumer,Office Supplies,Art,2022-06,8.44
Central,Consumer,Office Supplies,Art,2022-09,47.31
Central,Consumer,Office Supplies,Art,2022-11,81.91
Central,Consumer,Office Supplies,Art,2022-12,63.48
Central,Consumer,Office Supplies,Art,2023-01,5.93
Central,Consumer,Office Supplies,Art,2023-02,4.99
Central,Consumer,Office Supplies,Art,2023-03,13.21
Central,Consumer,Office Supplies,Art,2023-04,110.63
Central,Consumer,Office Supplies,Art,2023-07,7.5
Central,Consumer,Office Supplies,Art,2023-09,155.01
Central,Consumer,Office Supplies,Art,2023-10,13.18
Central,Consumer,Office Supplies,Art,2023-11,43.89
Central,Consumer,Office Supplies,Art,2023-12,72.5
Central,Consumer,Office Supplies,Art,2024-03,155.88
Central,Consumer,Office Supplies,Art,2024-05,109.24
Central,Consumer,Office Supplies,Art,2024-06,6.98
Central,Consumer,Office Supplies,Art,2024-07,396.76
Central,Consumer,Office Supplies,Art,2024-08,9.33
Central,Consumer,Office Supplies,Art,2024-09,86.95
Central,Consumer,Office Supplies,Art,2024-10,64.47
Central,Consumer,Office Supplies,Art,2024-11,165.3
Central,Consumer,Office Supplies,Art,2025-01,52.39
Central,Consumer,Office Supplies,Art,2025-02,34.78
Central,Consumer,Office Supplies,Art,2025-03,93.06
Central,Consumer,Office Supplies,Art,2025-04,24.48
Central,Consumer,Office Supplies,Art,2025-05,239.21
Central,Consumer,Office Supplies,Art,2025-06,26.49
Central,Consumer,Office Supplies,Art,2025-07,149.18
Central,Consumer,Office Supplies,Art,2025-08,6.43
Central,Consumer,Office Supplies,Art,2025-09,70.65
Central,Consumer,Office Supplies,Art,2025-10,149.63
Central,Consumer,Office Supplies,Art,2025-11,442.14
Central,Consumer,Office Supplies,Art,2025-12,252.8
Central,Consumer,Office Supplies,Binders,2022-01,48.0
Central,Consumer,Office Supplies,Binders,2022-02,66.54
Central,Consumer,Office Supplies,Binders,2022-03,95.98
Central,Consumer,Office Supplies,Binders,2022-04,42.27
Central,Consumer,Office Supplies,Binders,2022-05,148.73
Central,Consumer,Office Supplies,Binders,2022-06,27.29
Central,Consumer,Office Supplies,Binders,2022-07,2303.94
Central,Consumer,Office Supplies,Binders,2022-08,63.57
Central,Consumer,Office Supplies,Binders,2022-09,10174.89
Central,Consumer,Office Supplies,Binders,2022-10,18.21
Central,Consumer,Office Supplies,Binders,2022-11,1173.9
Central,Consumer,Office Supplies,Binders,2022-12,1528.64
Central,Consumer,Office Supplies,Binders,2023-01,31.57
Central,Consumer,Office Supplies,Binders,2023-02,2.69
Central,Consumer,Office Supplies,Binders,2023-03,32.91
Central,Consumer,Office Supplies,Binders,2023-04,396.15
Central,Consumer,Office Supplies,Binders,2023-05,49.9
Central,Consumer,Office Supplies,Binders,2023-06,396.66
Central,Consumer,Office Supplies,Binders,2023-07,5.33
Central,Consumer,Office Supplies,Binders,2023-08,106.41
Central,Consumer,Office Supplies,Binders,2023-09,23.55
Central,Consumer,Office Supplies,Binders,2023-10,32.59
Central,Consumer,Office Supplies,Binders,2023-11,86.6
Central,Consumer,Office Supplies,Binders,2023-12,72.55
Central,Consumer,Office Supplies,Binders,2024-01,1.62
Central,Consumer,Office Supplies,Binders,2024-02,51.16
Central,Consumer,Office Supplies,Binders,2024-03,121.3
Central,Consumer,Office Supplies,Binders,2024-04,1153.03
Central,Consumer,Office Supplies,Binders,2024-05,8.03
Central,Consumer,Office Supplies,Binders,2024-07,858.13
Central,Consumer,Office Supplies,Binders,2024-08,34.16
Central,Consumer,Office Supplies,Binders,2024-09,204.91
Central,Consumer,Office Supplies,Binders,2024-10,211.24
Central,Consumer,Office Supplies,Binders,2024-11,154.24
Central,Consumer,Office Supplies,Binders,2024-12,13405.8
Central,Consumer,Office Supplies,Binders,2025-01,4925.01
Central,Consumer,Office Supplies,Binders,2025-02,396.56
Central,Consumer,Office Supplies,Binders,2025-03,1332.55
Central,Consumer,Office Supplies,Binders,2025-04,697.41
Central,Consumer,Office Supplies,Binders,2025-05,52.73
Central,Consumer,Office Supplies,Binders,2025-06,31.13
Central,Consumer,Office Supplies,Binders,2025-07,69.44
Central,Consumer,Office Supplies,Binders,2025-08,146.09
Central,Consumer,Office Supplies,Binders,2025-09,105.6
Central,Consumer,Office Supplies,Binders,2025-10,2388.86
Central,Consumer,Office Supplies,Binders,2025-11,1845.13
Central,Consumer,Office Supplies,Binders,2025-12,244.04
Central,Consumer,Office Supplies,Envelopes,2022-03,6.04
Central,Consumer,Office Supplies,Envelopes,2022-04,165.98
Central,Consumer,Office Supplies,Envelopes,2022-05,60.21
Central,Consumer,Office Supplies,Envelopes,2022-06,14.87
Central,Consumer,Office Supplies,Envelopes,2022-11,650.24
Central,Consumer,Office Supplies,Envelopes,2023-04,186.87
Central,Consumer,Office Supplies,Envelopes,2023-06,33.65
Central,Consumer,Office Supplies,Envelopes,2023-07,96.82
Central,Consumer,Office Supplies,Envelopes,2023-09,8.46
Central,Consumer,Office Supplies,Envelopes,2023-11,33.75
Central,Consumer,Office Supplies,Envelopes,2023-12,15.92
Central,Consumer,Office Supplies,Envelopes,2024-03,37.35
Central,Consumer,Office Supplies,Envelopes,2024-05,7.61
Central,Consumer,Office Supplies,Envelopes,2024-08,77.49
Central,Consumer,Office Supplies,Envelopes,2024-09,127.82
Central,Consumer,Office Supplies,Envelopes,2024-10,89.77
Central,Consumer,Office Supplies,Envelopes,2024-11,51.94
Central,Consumer,Office Supplies,Envelopes,2025-01,269.94
Central,Consumer,Office Supplies,Envelopes,2025-03,349.29
Central,Consumer,Office Supplies,Envelopes,2025-04,28.61
Central,Consumer,Office Supplies,Envelopes,2025-08,84.03
Central,Consumer,Office Supplies,Envelopes,2025-09,40.46
Central,Consumer,Office Supplies,Envelopes,2025-11,67.92
Central,Consumer,Office Supplies,Fasteners,2022-01,5.75
Central,Consumer,Office Supplies,Fasteners,2022-03,19.67
Central,Consumer,Office Supplies,Fasteners,2022-05,6.14
Central,Consumer,Office Supplies,Fasteners,2022-09,13.6
Central,Consumer,Office Supplies,Fasteners,2022-10,20.84
Central,Consumer,Office Supplies,Fasteners,2022-12,3.21
Central,Consumer,Office Supplies,Fasteners,2023-02,5.34
Central,Consumer,Office Supplies,Fasteners,2023-03,22.42
Central,Consumer,Office Supplies,Fasteners,2023-04,5.82
Central,Consumer,Office Supplies,Fasteners,2023-08,11.96
Central,Consumer,Office Supplies,Fasteners,2023-12,4.07
Central,Consumer,Office Supplies,Fasteners,2024-03,2.29
Central,Consumer,Office Supplies,Fasteners,2024-05,7.17
Central,Consumer,Office Supplies,Fasteners,2024-08,9.75
Central,Consumer,Office Supplies,Fasteners,2024-09,2.1
Central,Consumer,Office Supplies,Fasteners,2024-10,27.0
Central,Consumer,Office Supplies,Fasteners,2024-11,67.2
Central,Consumer,Office Supplies,Fasteners,2025-02,16.66
Central,Consumer,Office Supplies,Fasteners,2025-03,8.2
Central,Consumer,Office Supplies,Fasteners,2025-05,8.81
Central,Consumer,Office Supplies,Fasteners,2025-08,35.47
Central,Consumer,Office Supplies,Fasteners,2025-09,10.18
Central,Consumer,Office Supplies,Fasteners,2025-11,62.06
Central,Consumer,Office Supplies,Fasteners,2025-12,64.81
Central,Consumer,Office Supplies,Labels,2022-02,13.61
Central,Consumer,Office Supplies,Labels,2022-06,17.22
Central,Consumer,Office Supplies,Labels,2022-09,117.65
Central,Consumer,Office Supplies,Labels,2022-10,6.09
Central,Consumer,Office Supplies,Labels,2022-12,4.56
Central,Consumer,Office Supplies,Labels,2023-04,72.26
Central,Consumer,Office Supplies,Labels,2023-05,13.61
Central,Consumer,Office Supplies,Labels,2023-06,33.08
Central,Consumer,Office Supplies,Labels,2023-09,7.95
Central,Consumer,Office Supplies,Labels,2023-11,20.96
Central,Consumer,Office Supplies,Labels,2024-05,4.57
Central,Consumer,Office Supplies,Labels,2024-06,21.99
Central,Consumer,Office Supplies,Labels,2024-07,9.95
Central,Consumer,Office Supplies,Labels,2024-09,80.84
Central,Consumer,Office Supplies,Labels,2024-11,32.9
Central,Consumer,Office Supplies,Labels,2025-01,14.87
Central,Consumer,Office Supplies,Labels,2025-03,26.75
Central,Consumer,Office Supplies,Labels,2025-05,12.72
Central,Consumer,Office Supplies,Labels,2025-07,20.36
Central,Consumer,Office Supplies,Labels,2025-08,137.93
Central,Consumer,Office Supplies,Labels,2025-10,7.09
Central,Consumer,Office Supplies,Labels,2025-11,41.16
Central,Consumer,Office Supplies,Labels,2025-12,83.44
Central,Consumer,Office Supplies,Paper,2022-01,26.36
Central,Consumer,Office Supplies,Paper,2022-02,14.78
Central,Consumer,Office Supplies,Paper,2022-03,90.32
Central,Consumer,Office Supplies,Paper,2022-04,91.2
Central,Consumer,Office Supplies,Paper,2022-05,8.48
Central,Consumer,Office Supplies,Paper,2022-06,126.86
Central,Consumer,Office Supplies,Paper,2022-07,48.85
Central,Consumer,Office Supplies,Paper,2022-08,10.03
Central,Consumer,Office Supplies,Paper,2022-09,280.33
Central,Consumer,Office Supplies,Paper,2022-10,336.01
Central,Consumer,Office Supplies,Paper,2022-11,327.34
Central,Consumer,Office Supplies,Paper,2022-12,235.08
Central,Consumer,Office Supplies,Paper,2023-01,26.4
Central,Consumer,Office Supplies,Paper,2023-02,8.55
Central,Consumer,Office Supplies,Paper,2023-04,113.63
Central,Consumer,Office Supplies,Paper,2023-05,147.13
Central,Consumer,Office Supplies,Paper,2023-06,91.54
Central,Consumer,Office Supplies,Paper,2023-07,143.21
Central,Consumer,Office Supplies,Paper,2023-08,10.04
Central,Consumer,Office Supplies,Paper,2023-09,15.68
Central,Consumer,Office Supplies,Paper,2023-10,116.52
Central,Consumer,Office Supplies,Paper,2023-11,847.04
Central,Consumer,Office Supplies,Paper,2023-12,213.95
Central,Consumer,Office Supplies,Paper,2024-01,37.09
Central,Consumer,Office Supplies,Paper,2024-03,75.54
Central,Consumer,Office Supplies,Paper,2024-05,86.28
Central,Consumer,Office Supplies,Paper,2024-06,340.23
Central,Consumer,Office Supplies,Paper,2024-07,349.93
Central,Consumer,Office Supplies,Paper,2024-08,157.63
Central,Consumer,Office Supplies,Paper,2024-09,197.07
Central,Consumer,Office Supplies,Paper,2024-10,100.41
Central,Consumer,Office Supplies,Paper,2024-11,193.41
Central,Consumer,Office Supplies,Paper,2024-12,348.99
Central,Consumer,Office Supplies,Paper,2025-01,453.34
Central,Consumer,Office Supplies,Paper,2025-03,731.11
Central,Consumer,Office Supplies,Paper,2025-04,10.13
Central,Consumer,Office Supplies,Paper,2025-05,228.52
Central,Consumer,Office Supplies,Paper,2025-06,183.1
Central,Consumer,Office Supplies,Paper,2025-08,51.8
Central,Consumer,Office Supplies,Paper,2025-09,146.5
Central,Consumer,Office Supplies,Paper,2025-10,197.72
Central,Consumer,Office Supplies,Paper,2025-11,362.36
Central,Consumer,Office Supplies,Paper,2025-12,636.08
Central,Consumer,Office Supplies,Storage,2022-01,265.18
Central,Consumer,Office Supplies,Storage,2022-02,62.63
Central,Consumer,Office Supplies,Storage,2022-03,348.24
Central,Consumer,Office Supplies,Storage,2022-04,651.25
Central,Consumer,Office Supplies,Storage,2022-05,94.78
Central,Consumer,Office Supplies,Storage,2022-06,1426.3
Central,Consumer,Office Supplies,Storage,2022-07,580.79
Central,Consumer,Office Supplies,Storage,2022-09,700.39
Central,Consumer,Office Supplies,Storage,2022-10,254.38
Central,Consumer,Office Supplies,Storage,2022-11,2731.47
Central,Consumer,Office Supplies,Storage,2022-12,337.04
Central,Consumer,Office Supplies,Storage,2023-02,572.83
Central,Consumer,Office Supplies,Storage,2023-03,167.77
Central,Consumer,Office Supplies,Storage,2023-04,257.76
Central,Consumer,Office Supplies,Storage,2023-07,697.62
Central,Consumer,Office Supplies,Storage,2023-08,1852.07
Central,Consumer,Office Supplies,Storage,2023-09,217.19
Central,Consumer,Office Supplies,Storage,2023-11,1017.45
Central,Consumer,Office Supplies,Storage,2023-12,573.76
Central,Consumer,Office Supplies,Storage,2024-05,1255.03
Central,Consumer,Office Supplies,Storage,2024-07,3025.72
Central,Consumer,Office Supplies,Storage,2024-08,25.35
Central,Consumer,Office Supplies,Storage,2024-09,1254.06
Central,Consumer,Office Supplies,Storage,2024-10,22.6
Central,Consumer,Office Supplies,Storage,2024-11,1113.57
Central,Consumer,Office Supplies,Storage,2025-01,845.21
Central,Consumer,Office Supplies,Storage,2025-02,43.65
Central,Consumer,Office Supplies,Storage,2025-03,480.23
Central,Consumer,Office Supplies,Storage,2025-04,217.95
Central,Consumer,Office Supplies,Storage,2025-05,863.35
Central,Consumer,Office Supplies,Storage,2025-06,170.4
Central,Consumer,Office Supplies,Storage,2025-07,350.71
Central,Consumer,Office Supplies,Storage,2025-08,282.82
Central,Consumer,Office Supplies,Storage,2025-09,414.45
Central,Consumer,Office Supplies,Storage,2025-10,1148.31
Central,Consumer,Office Supplies,Storage,2025-11,777.06
Central,Consumer,Office Supplies,Storage,2025-12,1068.17
Central,Consumer,Office Supplies,Supplies,2022-11,52.62
Central,Consumer,Office Supplies,Supplies,2022-12,3.49
Central,Consumer,Office Supplies,Supplies,2023-08,27.45
Central,Consumer,Office Supplies,Supplies,2023-11,53.0
Central,Consumer,Office Supplies,Supplies,2023-12,6.52
Central,Consumer,Office Supplies,Supplies,2024-03,3658.26
Central,Consumer,Office Supplies,Supplies,2024-07,14.72
Central,Consumer,Office Supplies,Supplies,2024-08,318.98
Central,Consumer,Office Supplies,Supplies,2024-09,18.51
Central,Consumer,Office Supplies,Supplies,2025-01,30.16
Central,Consumer,Office Supplies,Supplies,2025-05,22.61
Central,Consumer,Office Supplies,Supplies,2025-06,11.1
Central,Consumer,Office Supplies,Supplies,2025-08,35.11
Central,Consumer,Office Supplies,Supplies,2025-09,1.96
Central,Consumer,Office Supplies,Supplies,2025-11,45.71
Central,Consumer,Office Supplies,Supplies,2025-12,58.88
Central,Consumer,Technology,Accessories,2022-01,30.82
Central,Consumer,Technology,Accessories,2022-02,380.78
Central,Consumer,Technology,Accessories,2022-03,77.78
Central,Consumer,Technology,Accessories,2022-04,204.29
Central,Consumer,Technology,Accessories,2022-05,108.9
Central,Consumer,Technology,Accessories,2022-07,445.91
Central,Consumer,Technology,Accessories,2022-09,1024.58
Central,Consumer,Technology,Accessories,2022-10,127.98
Central,Consumer,Technology,Accessories,2022-11,256.24
Central,Consumer,Technology,Accessories,2022-12,606.62
Central,Consumer,Technology,Accessories,2023-01,390.97
Central,Consumer,Technology,Accessories,2023-02,601.77
Central,Consumer,Technology,Accessories,2023-03,16.17
Central,Consumer,Technology,Accessories,2023-04,497.42
Central,Consumer,Technology,Accessories,2023-06,2.61
Central,Consumer,Technology,Accessories,2023-07,740.3
Central,Consumer,Technology,Accessories,2023-09,232.1
Central,Consumer,Technology,Accessories,2023-10,433.27
Central,Consumer,Technology,Accessories,2023-11,439.25
Central,Consumer,Technology,Accessories,2023-12,678.25
Central,Consumer,Technology,Accessories,2024-03,1447.9
Central,Consumer,Technology,Accessories,2024-04,420.57
Central,Consumer,Technology,Accessories,2024-05,311.82
Central,Consumer,Technology,Accessories,2024-07,134.33
Central,Consumer,Technology,Accessories,2024-08,2234.18
Central,Consumer,Technology,Accessories,2024-09,406.33
Central,Consumer,Technology,Accessories,2024-10,2382.93
Central,Consumer,Technology,Accessories,2024-11,1163.97
Central,Consumer,Technology,Accessories,2024-12,66.28
Central,Consumer,Technology,Accessories,2025-01,108.9
Central,Consumer,Technology,Accessories,2025-02,160.91
Central,Consumer,Technology,Accessories,2025-03,160.36
Central,Consumer,Technology,Accessories,2025-04,277.2
Central,Consumer,Technology,Accessories,2025-05,178.11
Central,Consumer,Technology,Accessories,2025-06,138.3
Central,Consumer,Technology,Accessories,2025-07,139.9
Central,Consumer,Technology,Accessories,2025-08,295.88
Central,Consumer,Technology,Accessories,2025-09,834.33
Central,Consumer,Technology,Accessories,2025-10,125.88
Central,Consumer,Technology,Accessories,2025-11,476.63
Central,Consumer,Technology,Accessories,2025-12,1592.6
Central,Consumer,Technology,Copiers,2022-10,2346.82
Central,Consumer,Technology,Copiers,2023-04,2090.79
Central,Consumer,Technology,Copiers,2023-10,591.23
Central,Consumer,Technology,Machines,2022-06,424.49
Central,Consumer,Technology,Machines,2022-09,8323.15
Central,Consumer,Technology,Machines,2022-11,1283.24
Central,Consumer,Technology,Machines,2023-05,381.92
Central,Consumer,Technology,Machines,2023-11,487.79
Central,Consumer,Technology,Machines,2024-03,246.99
Central,Consumer,Technology,Machines,2024-09,1634.93
Central,Consumer,Technology,Phones,2022-05,91.8
Central,Consumer,Technology,Phones,2022-06,230.86
Central,Consumer,Technology,Phones,2022-07,612.54
Central,Consumer,Technology,Phones,2022-09,313.4
Central,Consumer,Technology,Phones,2022-10,2713.86
Central,Consumer,Technology,Phones,2022-11,908.1
Central,Consumer,Technology,Phones,2022-12,1205.82
Central,Consumer,Technology,Phones,2023-03,808.64
Central,Consumer,Technology,Phones,2023-04,260.01
Central,Consumer,Technology,Phones,2023-05,1070.85
Central,Consumer,Technology,Phones,2023-06,1358.31
Central,Consumer,Technology,Phones,2023-07,2979.08
Central,Consumer,Technology,Phones,2023-09,1224.04
Central,Consumer,Technology,Phones,2023-10,668.5
Central,Consumer,Technology,Phones,2023-11,330.07
Central,Consumer,Technology,Phones,2023-12,796.66
Central,Consumer,Technology,Phones,2024-01,1474.3
Central,Consumer,Technology,Phones,2024-03,617.27
Central,Consumer,Technology,Phones,2024-04,258.31
Central,Consumer,Technology,Phones,2024-05,2193.44
Central,Consumer,Technology,Phones,2024-06,1148.01
Central,Consumer,Technology,Phones,2024-07,1185.05
Central,Consumer,Technology,Phones,2024-08,204.78
Central,Consumer,Technology,Phones,2024-09,1566.79
Central,Consumer,Technology,Phones,2024-10,437.81
Central,Consumer,Technology,Phones,2024-11,2508.85
Central,Consumer,Technology,Phones,2024-12,14.96
Central,Consumer,Technology,Phones,2025-01,2067.06
Central,Consumer,Technology,Phones,2025-03,1028.9
